division,season,train_season_count,logistic_weight,hist_gbm_weight,xgboost_weight,games,brier_score,log_loss,accuracy
M,2008,5,0.4,0.0,0.6,128,0.15986017188034907,0.48293286131235935,0.734375
M,2009,6,0.4,0.0,0.6,128,0.1789288930048072,0.527289804187298,0.75
M,2010,7,0.4,0.0,0.6,128,0.19905930463708893,0.5704471965318443,0.65625
M,2011,8,0.4,0.0,0.6,134,0.21484653014112925,0.610363922829129,0.6417910447761194
M,2012,9,0.4,0.0,0.6,134,0.18483144304830362,0.5563808069894653,0.7164179104477612
M,2013,10,0.4,0.0,0.6,134,0.19259274680263902,0.5611308655746294,0.7164179104477612
M,2014,11,0.4,0.0,0.6,134,0.19226596325307915,0.5667790587501965,0.7388059701492538
M,2015,12,0.4,0.0,0.6,134,0.17095666563205317,0.5120336691266791,0.7313432835820896
M,2016,13,0.4,0.0,0.6,134,0.1946860779299881,0.5775407940435928,0.6865671641791045
M,2017,14,0.4,0.0,0.6,134,0.17722632247726192,0.5259707525326137,0.7761194029850746
M,2018,15,0.4,0.0,0.6,134,0.1935085247401147,0.5749290762589112,0.7313432835820896
M,2019,16,0.4,0.0,0.6,134,0.1691225064802105,0.5042164892324439,0.7164179104477612
M,2021,17,0.4,0.0,0.6,132,0.20415197334353755,0.5893911957326691,0.696969696969697
M,2022,18,0.4,0.0,0.6,134,0.22076734101520445,0.6384273126533903,0.6194029850746269
M,2023,19,0.4,0.0,0.6,134,0.21332000733971265,0.6128323689053761,0.664179104477612
M,2024,20,0.4,0.0,0.6,134,0.19551797370482776,0.5696708800939031,0.7313432835820896
M,2025,21,0.4,0.0,0.6,134,0.15889105719015945,0.4864647123649956,0.7611940298507462
